level,product_id,identifier,filename,feature_id,start_datetime,completion_datetime,center_lon,center_lat,time_bin,lat_band,lon_band,stratum,stratum_population_n,stratum_sample_n,inclusion_probability,design_weight,sample_order
L1C,3706,phisat_PHISAT-2_L1_000003706_20251030055556_20251030055559_AFA2DD75.zip,PHISAT-2_L1_000003706_20251030055556_20251030055559_AFA2DD75.zip,a619efce-babb-5279-8e78-833d16499085,2025-10-30 05:55:56+00:00,2025-10-30 05:55:59+00:00,75.785326795,30.694700913,3,2,2,T3_A2_L2,229,3,0.013100436681222707,76.33333333333334,47
L1C,3808,phisat_PHISAT-2_L1_000003808_20251109020718_20251109020721_DB8CF181.zip,PHISAT-2_L1_000003808_20251109020718_20251109020721_DB8CF181.zip,3abab3e6-4e5a-5b3b-b041-76ceab5fd2b9,2025-11-09 02:07:18+00:00,2025-11-09 02:07:21+00:00,124.506839653,-21.943631266,3,0,3,T3_A0_L3,64,1,0.015625,64.0,48
L1C,3811,phisat_PHISAT-2_L1_000003811_20251109054446_20251109054456_63343DB9.zip,PHISAT-2_L1_000003811_20251109054446_20251109054456_63343DB9.zip,2791bf03-5df2-5453-bf53-b17dd89da92e,2025-11-09 05:44:46+00:00,2025-11-09 05:44:56+00:00,-98.770041466,-48.107514743,3,0,0,T3_A0_L0,7,1,0.14285714285714285,7.0,49
L1C,3829,phisat_PHISAT-2_L1_000003829_20251110162855_20251110162905_8AC11518.zip,PHISAT-2_L1_000003829_20251110162855_20251110162905_8AC11518.zip,02665b29-04ea-5f29-9638-df7351a2d6d2,2025-11-10 16:28:55+00:00,2025-11-10 16:29:05+00:00,94.744836926,-18.212162718,3,1,3,T3_A1_L3,68,1,0.014705882352941176,68.0,50
L1C,3886,phisat_PHISAT-2_L1_000003886_20251121172739_20251121172741_E407FB8C.zip,PHISAT-2_L1_000003886_20251121172739_20251121172741_E407FB8C.zip,d6463aea-ebad-5fbd-b6de-5e3e454601ac,2025-11-21 17:27:39+00:00,2025-11-21 17:27:41+00:00,-98.950290271,19.233659424,3,1,0,T3_A1_L0,5,1,0.2,5.0,51
L1C,3888,phisat_PHISAT-2_L1_000003888_20251122025039_20251122025041_AB138D32.zip,PHISAT-2_L1_000003888_20251122025039_20251122025041_AB138D32.zip,67c3df60-5b1f-5aab-bb18-541eb80c1dc5,2025-11-22 02:50:39+00:00,2025-11-22 02:50:41+00:00,121.967429446,30.97138459,3,2,3,T3_A2_L3,81,1,0.012345679012345678,81.0,52
L1C,4071,phisat_PHISAT-2_L1_000004071_20251210075555_20251210075557_C25C05DD.zip,PHISAT-2_L1_000004071_20251210075555_20251210075557_C25C05DD.zip,047352ba-c1c3-5ed6-bbc2-693497918f12,2025-12-10 07:55:55+00:00,2025-12-10 07:55:57+00:00,47.197119628,31.051553336,3,2,2,T3_A2_L2,229,3,0.013100436681222707,76.33333333333334,53
L1C,4088,phisat_PHISAT-2_L1_000004088_20251214142023_20251214142026_F1418062.zip,PHISAT-2_L1_000004088_20251214142023_20251214142026_F1418062.zip,c7295a80-e49b-5d24-b7be-6e447bc4859a,2025-12-14 14:20:23+00:00,2025-12-14 14:20:26+00:00,-58.200958246,-20.982542146,3,0,1,T3_A0_L1,75,1,0.013333333333333334,75.0,54
L1C,4160,phisat_PHISAT-2_L1_000004160_20251220170802_20251220170812_66CD41C7.zip,PHISAT-2_L1_000004160_20251220170802_20251220170812_66CD41C7.zip,be35bcf2-272a-5462-9d02-2c8ee243f31b,2025-12-20 17:08:02+00:00,2025-12-20 17:08:12+00:00,85.454852977,-19.578954063,3,0,2,T3_A0_L2,8,1,0.125,8.0,55
L1C,4418,phisat_PHISAT-2_L1_000004418_20260116185426_20260116185428_6CB19F2E.zip,PHISAT-2_L1_000004418_20260116185426_20260116185428_6CB19F2E.zip,13e95dff-da19-5ba2-b9df-cb07137fdea6,2026-01-16 18:54:26+00:00,2026-01-16 18:54:28+00:00,-116.77206687,32.414988006,4,2,0,T4_A2_L0,131,2,0.015267175572519083,65.5,56
